OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,ROAD_SEC_CLASS,SECTION_ID,SEC_LENGTH,ROUTE_NO,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,MaxBRHT,MaxPierHT,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUNICIPAL,RECOMMEND,REMARKS,created_user,created_date,last_edited_user,last_edited_date
1,Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,SAN JUAN CITY (LONE DISTRICT),San Juan-Santolan Rd,Tertiary,S03963LZ,2161,0,662,B02126LZ,Santolan Br.,24,Concrete,permanent,Year Known,1974,Fair,2,1,5.3,3,2,13,25,20,0,0,1,1,4,0.183908,Estuary (Salt Water),Pasadeña,San Juan City,"RM - Bridge Deck Sweep, Clean",deck needs cleaning and sweeping. cracks rebar exposure at railings need to be repair.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
2,Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,BENGUET (LONE DISTRICT),Gov. Bado  Dangwa National Rd,Tertiary,S00399LZ,42560,0,4279,B00911LZ,Aso Br.,7,Concrete,permanent,Year Known,1973,Fair,2,0,4.3,0,1,7.9,5,15,0,0,0.2,0.2,2,0.069182,River/Waterway (fresh water),Datakan,Kapangan,"RM - Bridge Deck Sweep, Clean",Bridge was just retrofitted at year 2016.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
3,Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,MOUNTAIN PROVINCE (LONE DISTRICT),Mt Province-N Vizcaya Rd,Secondary,S00513LZ,24650,109,19139,B00923LZ,Fanias Br.,9,Concrete,permanent,Year Known,1972,Good,2,0,6.9,0,1,7.4,9,0,0,0,0,0,2,0,River/Waterway (fresh water),Samoki,Bontoc,RM - Bridge Waterways Cleaning,BRIDGE IS A SLAB BRIDGE UNDER A PCCP.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
4,Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,APAYAO (LONE DISTRICT),Claveria-Calanasan-Kabugao Rd,Tertiary,S00630LZ,87460,0,3857,B01047LZ,Muslim Br. 1,13,Concrete,permanent,Year Known,2000,Fair,2,0,4.2,0,1,8.59,0,18,0,0,0.35,0.35,2,0.056604,River/Waterway (fresh water),STA. ELENA,CALANASAN,Upgrading - Strengthening,on going bridge retrofitting FY2021 GAA FUNDED,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
5,Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,VALENZUELA CITY (FIRST DISTRICT),Canumay-Bignay Rd,Tertiary,S02139LZ,5783,0,1718,B04317LZ,Malinis Br.,7,Concrete,permanent,Year Known,1977,Good,2,0,3.53,0,1,7.8,30,0,0,0,0.65,0.65,2,0,Canal,Malinis,Valenzuela City,RM - Concrete Component Repair,"Retrofitted, FY 2017",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
6,Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Don Basilio Bautista St,Tertiary,S04508LZ,693,0,651,B03203LZ,Pinagkabalian Br.,46,Concrete,permanent,Year Known,1965,Good,2,2,15.4,2.5,3,9.35,37,20,0,1,1,1,2,0,Estuary (Salt Water),Dampalit,Malabon,Routine Maintenance - Other,"Completed GAA 2016 Project: Rehabilitation/Major Repair of Pinagkabalian Bridge along Don Basilio Bautista Blvd., Malabon City; In good condition but needs quarterly routine maintenance such as cleaning and re-painting of bridge and cleaning of waterways",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
7,Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,BENGUET (LONE DISTRICT),Cong. Andres Acop Cosalan Rd,Secondary,S00381LZ,23270,207,11047,B02672LZ,Toking Br.,11,Concrete,permanent,Year Known,2010,Fair,2,0,5.7,0,1,10,31,20,0,0,0.7,0.7,2,0.075472,River/Waterway (fresh water),Poblacion,Buguias,Routine Maintenance - Other,Deterioration of sealant was observed.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
8,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Nambaran-Isabela Rd,Tertiary,S00582LZ,12788,0,1920,B00987LZ,Lacnog Br.,49,Concrete,permanent,Year Known,1973,Fair,2,2,9.44,8,3,8.3,8,15,0,0,0.4,0.4,2,0.189474,River/Waterway (fresh water),Nambaran,Tabuk,Upgrading - Retrofitting,Immediate replacement of expansion joint to prevent bearing from corrosion and repair of deck,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
9,Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,APAYAO (LONE DISTRICT),Abbut-Conner Rd,Secondary,S00614LZ,25523,222,22494,B02240LZ,Calafug Br.,63,Concrete,permanent,Year Known,2001,Good,2,2,8,6.58,3,8.91,20,15,0,0,0.4,0.4,2,0,River/Waterway (fresh water),Calafug,Conner,"RM - Bridge Deck Sweep, Clean","Main members were applied with carbon fiber sheet,Reflective cracks on Expansion joint of abutments and piers.",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
10,Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,CITY OF MARIKINA (FIRST DISTRICT),A Bonifacio Ave,Tertiary,S04520LZ,1698,0,1483,B01866LZ,Marikina Br.,128,Concrete,permanent,Year Known,1979,Fair,2,4,16,12,5,21.6,20,20,0,0,1.5,1.5,4,0.238095,River/Waterway (fresh water),Sto. Niño/J. Dela Peña,Marikina City,RM - Concrete Component Repair,"needs repair/rehabilitation immediately, included in CY2018 fund",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
