,,Total Income,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,"35,599.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,"43,303.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"47,315.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,"51,263.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,"28,839.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,"28,038.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,lgu,year,lgutype,elecyr,lgusincome,totlocsrc,ira,tottax,totexsrc,govexp,pubwelf,educexp,healthexp,laborexp,housingexp,socservexp,econdevexp,totexp,,,,,,,,,,,,,,,,
NCR,LAS PIÑAS CITY,2022,City,2022,4131.243724,2172.177623,1922.811874,1827.277274,1959.066101,1166.79605,1231.552913,341.1557547,343.3931753,2.97612795,357.5009092,186.5269459,209.5845157,2607.933479,,,,,,,,,,,,,,,,
NCR,MAKATI CITY,2022,City,2022,17690.67448,15362.21737,1960.267126,14143.01535,2328.457105,4199.883199,9665.387037,3101.40396,4414.40361,69.18542366,0,2080.394043,1269.162422,15134.43266,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2022,City,2022,2492.564657,1128.728949,1340.688553,880.2086775,1363.835708,540.3784155,598.3076911,130.7397223,260.872891,52.5577829,49.5400579,104.597237,222.0609388,1360.747045,,,,,,,,,,,,,,,,
NCR,MANDALUYONG CITY,2022,City,2022,6284.237934,4806.470103,1443.516769,4480.639825,1477.767831,1575.785078,2860.077821,561.4834263,1239.5959,5.34928618,422.3546191,631.2945894,679.5228573,5115.385756,,,,,,,,,,,,,,,,
NCR,MANILA CITY,2022,City,2022,16525.21147,11391.46677,4978.610487,10122.04343,5133.744705,3142.154695,9088.107765,1550.804376,3312.888171,0,1363.575645,2860.839574,1466.417005,13696.67946,,,,,,,,,,,,,,,,
NCR,MARIKINA CITY,2022,City,2022,3009.546787,1473.913923,1535.632864,1012.110747,1535.632864,1570.634739,1148.974696,214.4564916,437.2995104,2.59598437,416.9833252,77.63938431,284.6138151,3004.22325,,,,,,,,,,,,,,,,
NCR,MUNTINLUPA CITY,2022,City,2022,6224.596432,4092.426867,1777.334921,3103.467225,2132.169566,1929.051314,867.0673023,249.9492266,289.5032742,13.24075492,53.90667224,260.4673743,1943.435124,4739.55374,,,,,,,,,,,,,,,,
NCR,NAVOTAS CITY,2022,City,2022,2378.661906,913.5902328,1002.360456,540.1712353,1465.071673,518.6673382,324.3653994,105.7300417,96.77874203,0,0,121.8566157,260.585038,1103.617776,,,,,,,,,,,,,,,,
